USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                      
CT	0901150	02378267	Ansonia city	25	A	19249	8148	15588842	435209	       6.019	       0.168	 41.344249	 -73.069825                                                                                       
CT	0902550	02631548	Baltic CDP	57	S	1250	549	3222999	174814	       1.244	       0.067	 41.609703	 -72.081896                                                                                            
CT	0902690	02378268	Bantam borough	21	A	759	403	2616809	0	       1.010	       0.000	 41.724745	 -73.242263                                                                                              
CT	0904790	02378335	Bethel CDP	57	S	9549	4168	10592349	0	       4.090	       0.000	 41.372728	 -73.411578                                                                                               
CT	0904945	02378336	Bethlehem Village CDP	57	S	2021	969	20177631	689197	       7.791	       0.266	 41.643970	 -73.202799                                                                                
CT	0906050	02378337	Blue Hills CDP	57	S	2901	1074	3017541	0	       1.165	       0.000	 41.813369	 -72.695443                                                                                            
CT	0907345	02378338	Branford Center CDP	57	S	5819	3257	4870440	532785	       1.880	       0.206	 41.277654	 -72.816095                                                                                  
CT	0908000	02378269	Bridgeport city	25	A	144229	57012	41372169	8719037	      15.974	       3.366	 41.187386	 -73.195734                                                                                 
CT	0908420	02378270	Bristol city	25	A	60477	27011	68404013	1046767	      26.411	       0.404	 41.681578	 -72.940749                                                                                     
CT	0908770	02378339	Broad Brook CDP	57	S	4069	1802	15345939	89047	       5.925	       0.034	 41.910667	 -72.541054                                                                                      
CT	0909120	02631560	Brooklyn CDP	57	S	981	212	2854751	0	       1.102	       0.000	 41.789893	 -71.954188                                                                                                
CT	0910660	02631559	Byram CDP	57	S	4146	1786	2074257	162341	       0.801	       0.063	 41.000892	 -73.653877                                                                                            
CT	0910870	02378340	Canaan CDP	57	S	1212	650	4515267	1114	       1.743	       0.000	 42.040089	 -73.332892                                                                                              
CT	0911990	02631221	Cannondale CDP	57	S	141	50	801283	0	       0.309	       0.000	 41.216034	 -73.424873                                                                                                
CT	0912370	02378341	Canton Valley CDP	57	S	1580	787	4554677	0	       1.759	       0.000	 41.831556	 -72.897734                                                                                          
CT	0914200	02378345	Cheshire Village CDP	57	S	5786	2415	8726222	0	       3.369	       0.000	 41.502600	 -72.899254                                                                                      
CT	0914370	02378346	Chester Center CDP	57	S	1558	714	5169144	72967	       1.996	       0.028	 41.401742	 -72.452272                                                                                     
CT	0915420	02378347	Clinton CDP	57	S	3368	1656	6237057	729149	       2.408	       0.282	 41.276405	 -72.529000                                                                                          
CT	0915840	02378348	Colchester CDP	57	S	4781	2093	11573865	0	       4.469	       0.000	 41.577782	 -72.332885                                                                                           
CT	0916120	02378349	Collinsville CDP	57	S	3746	1601	8116528	1084489	       3.134	       0.419	 41.822245	 -72.924487                                                                                    
CT	0916960	02377810	Conning Towers Nautilus Park CDP	57	S	8834	2574	12908708	1673820	       4.984	       0.646	 41.389220	 -72.063760                                                                   
